微博内容,发布者名称,发布时间以及设备,发布者主页
湖南师范大学教育学考研请问有谁下载了去年的招生简章吗，想知道教原招多少人​,日安x,29分钟前 来自湖南师范大学教育学考研超话,https://weibo.com/2142338434?refer_flag=1001030103_
@广西师范大学出版社新时代需要怎样的大学美育教材？——广西师范大学出版社“新时代大学美育课程与教材建设研讨会”召开　　2月23日，由广西师范大学出版社集团主办的“新时代大学美育课程与教材建设研讨会”在线上成功举办。　　教育部全国高校美育教学指导委员会副主任委员、湖南师范大学博士​展开c,中国高校教材图书网,29分钟前 来自微博weibo.com,https://weibo.com/1374842657?refer_flag=1001030103_
湖南师范大学出新传学硕考研资料​,欧孜寞之叉,36分钟前 来自湖南师范大学超话,https://weibo.com/3607776467?refer_flag=1001030103_
湖南师范大学考研出新传学硕资料​,欧孜寞之叉,37分钟前 来自湖南师范大学考研超话,https://weibo.com/3607776467?refer_flag=1001030103_
湖南师范大学23考研，求333聚点网课资料，有偿​,Yturbo1816,37分钟前 来自湖南师范大学超话,https://weibo.com/7172299660?refer_flag=1001030103_
湖南师范大学考研想再问问学科思政情况如何啦顺便求333和950资料​,是开心的啊七呀,39分钟前 来自湖南师范大学考研超话,https://weibo.com/5715285658?refer_flag=1001030103_
湖南师范大学考研说社工压分的那些人别制造焦虑了，说什么压分严重，今年社工360370的排名也到30多名了，别人不压分就压你的分，厉害😄​,pupunnn,39分钟前 来自湖南师范大学考研超话,https://weibo.com/7238066480?refer_flag=1001030103_
湖南师范大学考研有学科地理的友友吗​,zzzz---lalla,40分钟前 来自湖南师范大学考研超话,https://weibo.com/5143113543?refer_flag=1001030103_
湖南师范大学考研出湖师大古代文学考研资料包括马版文学史笔记（可直接背诵），包括03年—22年真题，带答案，包括古代文学网课视频。白菜价，回个血而已​,威廉古堡跳广场舞,41分钟前 来自湖南师范大学考研超话,https://weibo.com/7539612919?refer_flag=1001030103_
广州大学22考研，一志愿湖南师范大学自然地理学，考自命题高数，343分有机会调剂到贵校资源与环境专业吗？蹲上岸的学长学姐呜呜​,你的湖南老爸,42分钟前 来自广州大学超话,https://weibo.com/5507612058?refer_flag=1001030103_
湖南师范大学出971+333自行整理+购入资料（22考研人）童叟无欺全是心血​,Agoni_yee,49分钟前 来自湖南师范大学超话,https://weibo.com/3753611517?refer_flag=1001030103_
湖南师范大学考研出971+333自行整理+购入资料（22考研人）童叟无欺全是心血​,Agoni_yee,50分钟前 来自湖南师范大学考研超话,https://weibo.com/3753611517?refer_flag=1001030103_
会计专硕会计专硕湖南师范大学会计专硕有uu需要湖南师范大学会计学硕和专硕近3年真题吗？🙋🙋🙋​​​​,反派可爱多T,53分钟前 来自会计专硕超话,https://weibo.com/7007866226?refer_flag=1001030103_
湖南师范大学球球汉硕复试真题​,wanna畄,55分钟前 来自湖南师范大学超话,https://weibo.com/6571499078?refer_flag=1001030103_
湖南师范大学考研有没有湖师英美文学考研上岸的学长学姐，想了解相关的考研信息和考研资料，23研党在线求，在线等​,安若RN,57分钟前 来自湖南师范大学考研超话,https://weibo.com/6476816846?refer_flag=1001030103_
湖南师范大学蹲一个文艺学考研学长学姐23考研实在很困惑需要一些帮助​,水里捞出个水晶月亮,57分钟前 来自湖南师范大学超话,https://weibo.com/5774962627?refer_flag=1001030103_
湖南师范大学考研请问有出22年的333和960视频的吗，聚点视频？​,小彭今天背单词了吗o,58分钟前 来自湖南师范大学考研超话,https://weibo.com/7369933870?refer_flag=1001030103_
湖南师范大学23考研想要考湖师的汉语言文字学现代汉语方向，有没有学长学姐来捞捞我，跨地区考生，想多了解一下​,七月本味x,58分钟前 来自湖南师范大学超话,https://weibo.com/5196349379?refer_flag=1001030103_
湖南师范大学考研出湖师347资料刚刚考完可咨询备考相关问题​,写给初一的情书,今天13:00 来自湖南师范大学考研超话,https://weibo.com/5660300506?refer_flag=1001030103_
湖南师范大学22年713+827汉语言文字学古汉方向初试第一，复试后出专业课备考资料。​,荼靡婳绮,今天12:59 来自湖南师范大学超话,https://weibo.com/5618941475?refer_flag=1001030103_
湖南师范大学考研今年应用心理347会不会扩招啊按招生简章的拟招生人数我就是个复试边缘人​,桃良拾壹,今天12:58 来自湖南师范大学考研超话,https://weibo.com/3518258244?refer_flag=1001030103_
湖南师范大学23考研er想问下学长学姐这几年数学学硕的压分情况严重吗今年是不是也是特别卷呢​,她不能再熬夜了,今天12:52 来自湖南师范大学超话,https://weibo.com/5090018608?refer_flag=1001030103_
快来看艺术设计考研成绩-这年划上完美句号湖南工业大学艺术设计考研/湖南师范大学艺术设计考研/湖南科技大学艺术设计考研湖南工业大学湖南师范大学湖南科技大学#艺术考研##研究生##艺术设计考研#2常德​,就是那个樊宇鸭,今天12:50 来自iPhone客户端,https://weibo.com/5212137561?refer_flag=1001030103_
湖南师范大学考研湖南师范大学考研出外国语言文学22考研资料，01文学、02语言学、03翻译学均适用​,咦是鱼呀,今天12:46 来自湖南师范大学考研超话,https://weibo.com/6452020553?refer_flag=1001030103_
#湖南师范大学#​,Oohsehun-94,今天12:44 来自iPhone客户端,https://weibo.com/7098281896?refer_flag=1001030103_
湖南师范大学姐妹儿们兄弟们学科英语409有可能调剂到贵校学科英语的特拉华项目吗​,猜我今天早睡了吗,今天12:43 来自湖南师范大学超话,https://weibo.com/3564792151?refer_flag=1001030103_
湖南师范大学考研22考研世界史初试400＋应该进了复试复试考中国史会不会很难呀有没有英国史方向的老师可以推荐呀求上岸的学长学姐能稍作指点​,L-honey-AY,今天12:27 来自湖南师范大学考研超话,https://weibo.com/6591531132?refer_flag=1001030103_
湖南师范大学考研出旅游地理资料白菜价​,诺诺子在此,今天12:23 来自湖南师范大学考研超话,https://weibo.com/6165692591?refer_flag=1001030103_
湖南师范大学考研出人文地理的资料，考虑换学校，低价。​,我想要大份的,今天12:22 来自湖南师范大学考研超话,https://weibo.com/7420566993?refer_flag=1001030103_
湖南师范大学考研湖南师范大学有学科美术的学长学姐嘛～孩子是23考研想咨询一些问题​,Da爱揪兔耳朵,今天12:14 来自湖南师范大学考研超话,https://weibo.com/6112480574?refer_flag=1001030103_
湖南师范大学考研湖师大汉语言文字学（古代汉语）初试第一，复试结束后出复习资料​,荼靡婳绮,今天12:14 来自湖南师范大学考研超话,https://weibo.com/5618941475?refer_flag=1001030103_
湖南师范大学有学科美术的学长学姐嘛想咨询学习一下～看看孩子​,意外走丢小朋友,今天12:12 来自湖南师范大学超话,https://weibo.com/7523491656?refer_flag=1001030103_
湖南师范大学湖南师范大学蹲22考研的学长学姐，马理论今年压分严重吗，保护第一志愿吗孩子迷茫了​,今天有吃水果捞吗,今天12:07 来自湖南师范大学超话,https://weibo.com/5931068593?refer_flag=1001030103_
湖南师范大学考研出湖南师范大学生命科学学院资料706和864专业课资料英语政治资料​,r做个快乐废物h,今天12:07 来自湖南师范大学考研超话,https://weibo.com/7503578900?refer_flag=1001030103_
#我是冬奥体验官#来自湖南师范大学的周宗锴同学作为冬奥会志愿者，向世界展现了中国青年精神风貌以及师大学子的热血奋进，让我们一起在周宗锴同学的访谈中听听他与冬奥的故事吧～​,湖南师范大学,今天12:01 来自微博国际版,https://weibo.com/1866488605?refer_flag=1001030103_
湖南师范大学考研请问贵校的广播电视专硕今年压分么​,用户6968674731,今天12:00 来自湖南师范大学考研超话,https://weibo.com/6968674731?refer_flag=1001030103_
湖南师范大学考研有没有21年上岸湖师大化工学硕的学长学姐，我想知道复试考化学综合，有机，无机，分析，那么多书，都要看完吗？复试大纲里给的太笼统了，没有一点用，在线等学长学姐们，还有复试还会考化工原理吗？求学长学姐救救孩子​,若溪上延,今天11:57 来自湖南师范大学考研超话,https://weibo.com/6357953446?refer_flag=1001030103_
湖南师范大学考研收湖师大959学科化学复习资料​,baby2carrot,今天11:52 来自湖南师范大学考研超话,https://weibo.com/7590872092?refer_flag=1001030103_
南京理工大学湖南师范大学长沙理工大学​,电子厂厂妹02841,今天11:48 来自微博国际版,https://weibo.com/6413239426?refer_flag=1001030103_
湖南师范大学考研蹲湖南师范22理论经济学复试的群​,小匡匡puleya,今天11:45 来自湖南师范大学考研超话,https://weibo.com/7489515091?refer_flag=1001030103_
湖南师范大学考研收微生物复试资料​,给我一杯阿华田yu,今天11:37 来自湖南师范大学考研超话,https://weibo.com/7564276925?refer_flag=1001030103_
湖南师范大学考研求中西方音乐史的笔记和真题！！​,kimicle775,今天11:37 来自湖南师范大学考研超话,https://weibo.com/7270870335?refer_flag=1001030103_
感谢🙏大家的信任，新的一年，我会带着我的团队继续破我们的教学记录📝！欢迎👏各位优秀的老师和同学加入轲达这个大家庭👏！我们会用实际行动让大家感受到“有温度的教育”，也会证实大家的选择没有错！湖南师范大学考研#333教育综合##教育学考研#2长沙​,学科音乐唐芬,今天11:30 来自湖南师范大学考研超话,https://weibo.com/6444487762?refer_flag=1001030103_
湖南师范大学考研出全新333参考书，952参考书​,Crushuuuuu,今天11:28 来自湖南师范大学考研超话,https://weibo.com/6394882038?refer_flag=1001030103_
湖南师范大学考研出文艺学复试资料啦​,密码箱里有什么,今天11:24 来自湖南师范大学考研超话,https://weibo.com/5705108284?refer_flag=1001030103_
湖南师范大学考研出湖师大古代文学716+828考研资料​,向前冲冲冲961,今天11:23 来自湖南师范大学考研超话,https://weibo.com/7654796025?refer_flag=1001030103_
湖南师范大学考研求稳21级学姐学长，学科英语复试的形式和内容。本人想调剂湖师大。最近在的emo又焦虑，救救孩子​,Ye_carcar,今天11:17 来自湖南师范大学考研超话,https://weibo.com/7330146569?refer_flag=1001030103_
湖南师范大学考研佛系出新传考研资料电子版334.440​,EchoCrush12,今天11:15 来自湖南师范大学考研超话,https://weibo.com/5544932844?refer_flag=1001030103_
"成绩一般般，想当老师，考单招行吗？一位同学问：我是高三女生，成绩一般般吧，大概就是三本分数线上的样子。我的语文老师,成绩也是一般般没有考上一所好的大学,然后通过复读,考上师范学校,最后分配到学校来教书了。我的成绩才勉强三本分数线上，可能读不了好本科，就只能念个好点的专科了。我想​展开c",看遍会笑的星空,今天11:08 来自iPhone客户端,https://weibo.com/7368539487?refer_flag=1001030103_
🌟教育学热门院校分析！O今晚7点带你分析【华中地区教育学热门高校&考情】🥳主讲人：初羽、安妮@教育学初羽@教育学安妮⏰时间：O2月25日晚7点—8点🏫主讲院校：华中师范大学、河南师范大学、华中科技大学、河南大学、河南师范大学、湖南师范大学、湖北师范大学超多校区分析，总​展开c,欣途教育,今天11:04 来自微博直播平台,https://weibo.com/5658232517?refer_flag=1001030103_
湖南师范大学考研#考研#出湖师大728物理化学，846无机化学考研真题及答案。赠送电子版教材参考书，南师大考研真题及答案（不完整，少近两年）​,Leven阿祺,今天11:02 来自湖南师范大学考研超话,https://weibo.com/6581665755?refer_flag=1001030103_
湖南师范大学23考研心理学312有人吗！​,想想Theshy会怎么做,今天11:01 来自湖南师范大学超话,https://weibo.com/6510034883?refer_flag=1001030103_
🔥早报早优惠，时间对于你们比什么都重要，你们要知道，1月份就已经开始学习的同学，经过两个月的沉淀，已经快学习完第一轮了。现在还有一些同学，还在恍恍惚惚，我会替大家着急，想要督促你们学习，但是学习的过程，学生始终是主体，希望大家都明白这其中的重要性‼️#湖南大学#​展开c,教育学考研雯雯学姐,今天10:57 来自iPhone12,https://weibo.com/6068260343?refer_flag=1001030103_
湖南师范大学考研#体育考研#低价出湖师大735资料，运动生理学、体育心理学。​,麓山鹿,今天10:45 来自湖南师范大学考研超话,https://weibo.com/5210575693?refer_flag=1001030103_
湖南师范大学教育学考研出司南机构湖师大980职教复试课程和资料​,想昵称有点南吖,今天10:40 来自湖南师范大学教育学考研超话,https://weibo.com/6360610767?refer_flag=1001030103_
湖南师范大学考研出凯程311全套应用宝典笔记（中教有稍做笔记不影响观看）好价​,月色绞杀,今天10:39 来自湖南师范大学考研超话,https://weibo.com/6564036002?refer_flag=1001030103_
湖南师范大学考研请问美术学院专业课压分吗？​,赵艺fly,今天10:36 来自湖南师范大学考研超话,https://weibo.com/3040816683?refer_flag=1001030103_
湖南师范大学辅导员真题解析2022年2月21日​L高校辅导员招聘考试导师的微博视频​,高校辅导员招聘考试导师,今天10:35 来自微博视频号,https://weibo.com/2720884261?refer_flag=1001030103_
微博内容,发布者名称,发布时间以及设备,发布者主页
湖南师范大学考研22届汉语言文字学古汉方向上岸学姐这个方向好像比较冷门，大家可以向我提问有关考研的问题哦！​,可爱多草莓呀,1分钟前 来自湖南师范大学考研超话,https://weibo.com/6799605891?refer_flag=1001030103_
【湖师大学科地理9604⃣️🈷️学习规划】1⃣️学习时间:现阶段2小时是完全足够的，不要再多了，其余的时间拿来看333和英语，专业课二到了后期再逐步加长时间学习内容:教材(为主)+基础资料+课程。2⃣️学习方法:1.学完教育原理再来学960;2.看基础视频课之前，先自己看两遍书，不要直接上​展开c,湖南师大考研声,5分钟前,https://weibo.com/7573779726?refer_flag=1001030103_
湖南师范大学考研外国语言文学上岸有啥相关问题都可私信我​,PP快减肥,6分钟前 来自湖南师范大学考研超话,https://weibo.com/7402760359?refer_flag=1001030103_
发布了头条文章：《北京法研教育，中国政法大学考研法学辅导春季课程开始了》#22、23年中国政法大学考研##中国政法大学考研##中国政法大学超话##中国人民公安大学##山东政法学院##中央司法警官学院##海南法学院##东北大学##北京警察学院##南京工业大学##国际关系学院##河南财经政法大学#​展开c,法研教育-法大考研资讯,7分钟前 来自微博weibo.com,https://weibo.com/7421539959?refer_flag=1001030103_
出湖南师范大学药学766真题湖南师范大学考研​,小幸运儿呢,14分钟前 来自iPhone客户端,https://weibo.com/7121201263?refer_flag=1001030103_
有人有23年考研湖师大333的视频课吗（不是凯程），有偿#湖南师范大学#湖南师范大学2铜陵​,用户6724163382,19分钟前 来自iPhone客户端,https://weibo.com/6724163382?refer_flag=1001030103_
#湖南师范大学考研超话#出书​,奥噢嗷呜,23分钟前 来自iPhone客户端,https://weibo.com/6287943790?refer_flag=1001030103_
湖南师范大学考研必备湖南师范大学考研出书​,奥噢嗷呜,24分钟前 来自湖南师范大学考研必备超话,https://weibo.com/6287943790?refer_flag=1001030103_
704+804政治学湖南师范大学考研​,清若水域,24分钟前 来自湖南师范大学考研超话,https://weibo.com/6220571262?refer_flag=1001030103_
发布了头条文章：《2020年中国政法大学考研法学硕士法律职业伦理专业真题》#中国政法大学考研##中国政法大学超话##中国人民公安大学##山东政法学院##中央司法警官学院##海南法学院##东北大学##北京警察学院##南京工业大学##国际关系学院##河南财经政法大学##西北政法大学##广东财经大学#​展开c,法大法学考研,27分钟前 来自微博weibo.com,https://weibo.com/6092607185?refer_flag=1001030103_
考研出湖南师范大学有机化学+物理化学考研资料，笔记，真题，笔记是本人今年刚上岸整理过的。本人有机化学22考研上岸，有机化学专业第四，价格美丽，欢迎联系​​​​,wejunn_,30分钟前 来自考研超话,https://weibo.com/5857716872?refer_flag=1001030103_
【#2022软科中国大学排名#正式发布！湖南3所高校位列全国高校百强】湖南3所高校位列主榜（即综合性大学排名）百强，百强高校数量位列全国第8名……今日，高等教育专业评价机构软科发布“2022软科中国大学排名”。其中，清华大学、北京大学、浙江大学蝉联主榜（即综合性大学排名）前三位，中南大学、湖​展开c,湖南生活圈,35分钟前 来自iPhone客户端,https://weibo.com/5027133576?refer_flag=1001030103_
【2022软科中国大学排名正式发布！#长沙3所高校位列全国高校百强#】湖南3所高校位列主榜（即综合性大学排名）百强，百强高校数量位列全国第8名……今日，高等教育专业评价机构软科发布“2022软科中国大学排名”。中南大学、湖南大学、湖南师范大学分别位列全国第23名、第32名、第88名。​​​(软科)​,在长沙,41分钟前,https://weibo.com/1935622204?refer_flag=1001030103_
湖南师范大学#疫情的影响很多行业受到影响疫情之下，失业人员何去何从？报告统计今年高校应届毕业生达到1000多万，疫情加上政策调控意味着大学生如果没有过硬的本领会导致就业难的问题#青创繁星今年的100%的线上教学，更加笃定繁星的闪烁，互联网时代让创业简单，就业精彩；我是创客​展开c,联超惠久,43分钟前 来自湖南师范大学超话,https://weibo.com/2394997977?refer_flag=1001030103_
【2022软科中国大学排名正式发布！#长沙3所高校位列全国高校百强#】湖南3所高校位列主榜（即综合性大学排名）百强，百强高校数量位列全国第8名……今日，高等教育专业评价机构软科发布“2022软科中国大学排名”。中南大学、湖南大学、湖南师范大学分别位列全国第23名、第32名、第88名。​,雪峰视频,46分钟前 来自微博国际版,https://weibo.com/7455031544?refer_flag=1001030103_
【2022软科中国大学排名正式发布！#长沙3所高校位列全国高校百强#】湖南3所高校位列主榜（即综合性大学排名）百强，百强高校数量位列全国第8名……今日，高等教育专业评价机构软科发布“2022软科中国大学排名”。中南大学、湖南大学、湖南师范大学分别位列全国第23名、第32名、第88名。​,长沙美食探索,46分钟前 来自微博国际版,https://weibo.com/6034787470?refer_flag=1001030103_
【2022软科中国大学排名正式发布！#长沙3所高校位列全国高校百强#】湖南3所高校位列主榜（即综合性大学排名）百强，百强高校数量位列全国第8名……今日，高等教育专业评价机构软科发布“2022软科中国大学排名”。中南大学、湖南大学、湖南师范大学分别位列全国第23名、第32名、第88名。​,长沙旅游,46分钟前 来自微博国际版,https://weibo.com/3237939930?refer_flag=1001030103_
【2022软科中国大学排名正式发布！#长沙3所高校位列全国高校百强#】湖南3所高校位列主榜（即综合性大学排名）百强，百强高校数量位列全国第8名……今日，高等教育专业评价机构软科发布“2022软科中国大学排名”。中南大学、湖南大学、湖南师范大学分别位列全国第23名、第32名、第88名。​,吃喝玩乐购长沙,46分钟前 来自微博国际版,https://weibo.com/5584151915?refer_flag=1001030103_
【2022软科中国大学排名正式发布！#长沙3所高校位列全国高校百强#】湖南3所高校位列主榜（即综合性大学排名）百强，百强高校数量位列全国第8名……今日，高等教育专业评价机构软科发布“2022软科中国大学排名”。中南大学、湖南大学、湖南师范大学分别位列全国第23名、第32名、第88名。​,长沙大学城儿,51分钟前 来自三星S21Ultra5G,https://weibo.com/6079550516?refer_flag=1001030103_
湖南师范大学考研23广播电视编导考研有没有上岸的学长学姐可以咨询一下嘛​,非非在看你,今天18:55 来自湖南师范大学考研超话,https://weibo.com/7235385443?refer_flag=1001030103_
#湖南师范大学考研超话#求学长学姐自然地理考研资料高数和专业课以及经验​,晴窗萤火,今天18:53 来自荣耀50SE5G,https://weibo.com/7316063276?refer_flag=1001030103_
发布了头条文章：《法大考研|23/24级中国政法大学考研环境法专业备考攻略》#22、23年中国政法大学考研##中国政法大学考研##中国政法大学超话##中国人民公安大学##山东政法学院##中央司法警官学院##海南法学院##东北大学##北京警察学院##南京工业大学##国际关系学院##河南财经政法大学##西北政法大学​展开c,法研教育-法大考研资讯,今天18:49 来自微博weibo.com,https://weibo.com/7421539959?refer_flag=1001030103_
湖南师范大学22年考的出湖师大广播电视笔记727887之前在一个已高分上岸的学姐那里买的资料，然后我自己自用，再整理的，比之前更全四本书笔记全还有历年真题有思维导图需要的话还有论文补充​,WKR-666,今天18:46 来自湖南师范大学超话,https://weibo.com/3348959534?refer_flag=1001030103_
#湖南师范大学考研超话#有物化和有机的上岸的学长学姐吗​,Jiaabby-,今天18:44 来自iPhone客户端,https://weibo.com/7311345987?refer_flag=1001030103_
湖南师范大学考研出湖师大广播电视笔记727887之前在一个已高分上岸的学姐那里买的资料，然后我自己自用，再整理的，比之前更全四本书笔记全还有历年真题有思维导图需要的话还有论文补充​,WKR-666,今天18:44 来自湖南师范大学考研超话,https://weibo.com/3348959534?refer_flag=1001030103_
#长沙市开福区2022年事业单位公开招聘工作人员公告#长沙市开福区事业单位公开招聘2022年高校毕业生公告#湖南师范大学附属中学2022年公开招聘公告#长沙市岳麓区交通运输局招聘公告#湖南省药品审评与不良反应监测中心2022年公开招聘编外专业技术人员公告#岳阳市城市建设投资集团有限公司2022年上半年人员​展开c,倾耳如风,今天18:29 来自nova4自拍极点全面屏,https://weibo.com/5874216910?refer_flag=1001030103_
出湖南师范大学的书以及纸质版的真题及真题答案。真题150买的，60出。​,W伊洛传芳F,今天18:14 来自vivo手机,https://weibo.com/5986870783?refer_flag=1001030103_
湖南师范大学考研想问一下大家专业课二到底是报班好还是找个学姐私教好呀？​,真真真的是我的宝贝,今天18:04 来自湖南师范大学考研超话,https://weibo.com/5800328395?refer_flag=1001030103_
湖南师范大学考研学长学姐，人文地理学压分吗​,北海屿鸽,今天17:56 来自湖南师范大学考研超话,https://weibo.com/7478541231?refer_flag=1001030103_
最难考的热门双非院校汇总！北京之热门双非院校▲北京语言大学北京语言大学由于特殊定位，有着独特的魅力。是教育部直属高校，而在教育部直属高校中，除了几个艺术类院校外，几乎全都是211工程大学。北京语言大学不是一所能用数据去衡量的大学，但是这并不能掩盖北京语言大学在她专长领​展开c,峰研·研路相伴,今天17:52 来自iPhone客户端,https://weibo.com/7348918904?refer_flag=1001030103_
二战经验贴｜湖南师范大学学科物理第二名成功上岸1⃣️总分376分2⃣️333教育综合两年都很稳！3⃣️专业课二从91分提高到125分政治、英语、333教育综合、892普通物理学详细经验分享，如图所示👇#考研##学科物理##湖南师范大学学科物理#​,教育学洪哥,今天17:52,https://weibo.com/6605721388?refer_flag=1001030103_
湖南师范大学考研蹲一个二战湖南师范大学学科地理的研友​,用户7387835707,今天17:44 来自湖南师范大学考研超话,https://weibo.com/7387835707?refer_flag=1001030103_
湖南师范大学出23届湖师大学科音乐333、962课程​,吃布丁的卡比,今天17:32 来自湖南师范大学超话,https://weibo.com/7358852222?refer_flag=1001030103_
湖南师范大学考研公管院的学姐学长有谁知道赵子林教授好不好相处呀​,只求有个学上,今天17:25 来自湖南师范大学考研超话,https://weibo.com/6187334483?refer_flag=1001030103_
湖师大学科英语一战上岸经验分享#学科英语##湖师大学科英语考研##湖南师范大学教育学考研#,心火教育-娟娟学姐,今天17:10 来自iPhone客户端,https://weibo.com/7411995316?refer_flag=1001030103_
湖南师范大学学科思政已拟录取～​,Chen-10-好运,今天17:01 来自湖南师范大学超话,https://weibo.com/2308455153?refer_flag=1001030103_
湖南师范大学学科思政已拟录取～欢迎咨询喔～​,Chen-10-好运,今天17:00 来自湖南师范大学超话,https://weibo.com/2308455153?refer_flag=1001030103_
湖南师范大学考研学科思政已拟录取～欢迎咨询～​,Chen-10-好运,今天16:59 来自湖南师范大学考研超话,https://weibo.com/2308455153?refer_flag=1001030103_
湖南师范大学学科思政，拟录取啦！​,Chen-10-好运,今天16:55 来自湖南师范大学超话,https://weibo.com/2308455153?refer_flag=1001030103_
湖南师范大学考研蹲一个23届湖南师范大学学科历史考研群​,雨打呼噜,今天16:47 来自湖南师范大学考研超话,https://weibo.com/6038261880?refer_flag=1001030103_
发布了头条文章：《新祥旭考研：2022年湖南师范大学社会工作硕士专业考研成功经验分享》O新祥旭考研：2022年湖南师范大学社会工作硕士专业考研成功经验分享​,新祥旭考研官方微博,今天16:47 来自微博weibo.com,https://weibo.com/5886029170?refer_flag=1001030103_
【作业批改】同学们在写故事的时候经常会出现一些很典型的错误，比如在人物塑造上过于扁平，或是后续故事发展不符合原本的主题...没有关系，这些错误都可以被修正的，继续努力#mfa##北师大考研##北大mfa##暨南大学##湖南师范大学考研##中山大学##浙江大学##西南大学##中国电影资料馆#​展开c,壹秋ART,今天16:46 来自新版微博weibo.com,https://weibo.com/7454899493?refer_flag=1001030103_
【2023届湖南师范大学311教育学基础资料大礼包】1⃣️《311教育学高分指南》2⃣️《教育学考研知识一本通》3⃣️《教育学全年备考任务清单》4⃣️《311教育学思维导图》另外还有司南周边，现在加入司南就可以马上收到丰厚的学习礼物哦！#司南考研#/#311教育学考研#/#2023考研#/​展开c,湖南师大考研声,今天16:34 来自微博视频号,https://weibo.com/7573779726?refer_flag=1001030103_
