#启航春天里##关注2022两会#【攻坚克难砥砺奋进——从政府工作报告看#2022年中国发展新走向#】2022年，是党和国家事业发展进程中十分重要的一年，是党的二十大召开之年。中国的“两会时间”将向世界铺展怎样的发展新图景？5日提请十三届全国人大五次会议审议的政府工作报告，提出一系列新目标新部署，​展开c,福建新闻广播fm1036,2秒前 来自微博weibo.com,https://weibo.com/1685262231?refer_flag=1001030103_
【高福谈#群体免疫理想状态没有达成但传播率会下降#】#微观两会#全国政协委员、中国疾病预防控制中心主任高福接受中新社记者采访时表示，最初最理想状态是，打完疫苗免疫屏障就建立起来了，打完疫苗就不感染、也不传播了。高福说，但是通过接种疫苗我们建立起的群体免疫能够防重症、防死亡。“所以现​展开c,中国新闻社,4秒前 来自微博视频号,https://weibo.com/3604378011?refer_flag=1001030103_
【40岁上有老又下有小更需要社会重视】如今，部分单位将35岁作为招聘红线，40岁及以上骨干被“一刀切”、边缘化的情况也时有出现。今年全国两会，全国政协委员、上海市政府参事胡卫带来了一份“关于减少中年人力资源浪费”的提案，胡卫在《做客央广网》栏目中表示：“要创造一个公平的就业环境，无论是​展开c,明日头条,6秒前 来自微博视频号,https://weibo.com/5681478953?refer_flag=1001030103_
【青海省全国人大代表夏吾卓玛走进“代表通道”】#全国两会#L西海都市报官方微博的微博视频​,西海都市报官方微博,6秒前 来自微博视频号,https://weibo.com/1975154821?refer_flag=1001030103_
//@热浪人间:#2022年全国两会#法院利用执行权敛财严重影响国家的司法形象，阻碍法治中国建设的整体推进。请关注,捍卫正义23,11秒前 来自nova7SE5G你在焦点在,https://weibo.com/7278120583?refer_flag=1001030103_
时政新闻眼丨第五次到内蒙古代表团，习近平重点谈到三件大事O时政新闻眼丨第五次到内蒙古代表团，习近平重点谈到三件大事时政两会说丨话民族团结创美好生活——总书记同全国人大代表共商国是O时政两会说丨话民族团结创美好生活——总书记同全国人大代表共商国是镜观·领航丨这一年，总书记的“两会关切”这样落实O镜观·领航丨这一年，总书记的“两会关切”这样落实​,海口网,13秒前 来自360安全浏览器,https://weibo.com/1813124744?refer_flag=1001030103_
#2022全国两会聚焦#【张兴赢委员：#推进碳达峰碳中和首先要摸清家底#】全国政协委员、国家卫星气象中心副主任张兴赢近日接受采访时表示，对于碳达峰碳中和来说，首先需要做的就是要摸清家底。我们要知道究竟我们目前的碳排放情况是什么样的。不同的行业，它究竟排放量多少，那么在国家采取相关的政策​展开c,河北新闻广播,13秒前 来自iPhone客户端,https://weibo.com/1913366611?refer_flag=1001030103_
时政两会说丨话民族团结创美好生活——总书记同全国人大代表共商国是O时政两会说丨话民族团结创美好生活——总书记同全国人大代表共商国是​,大同日报,13秒前 来自微博weibo.com,https://weibo.com/2572182777?refer_flag=1001030103_
"#2022全国两会#黑龙江省肇东市亿万富翁徐海芬，王永太,，王双雇凶杀人，杀人犯王双雇黑社会在对青山租房看上我家人了要杀我家人灭口，请哈尔滨公安局快来抓黑社会和杀人犯王双，我报110对青山派出所杀人不抓，黑社会不抓，​​请不要删我微博。​",我来找清官,13秒前 来自vivoY3闪充强续航,https://weibo.com/5744807988?refer_flag=1001030103_
【全国政协委员#建议全职太太全职先生成合法职业#，享受工龄累计、社保等待遇】#周刊君带你看两会#全国两会期间，全国政协委员、广西壮族自治区柳州市人民检察院副检察长韦震玲提交提案，建议建立家庭全职服务成员职业权利保障制度，维护家庭全职服务成员的合法权益。她认为，因特殊事由、特殊时期​展开c,红塔区发布,17秒前 来自微博视频号,https://weibo.com/3974560125?refer_flag=1001030103_
#全国两会#【委员谈#冰墩墩雪容融成爆款是因审美自信#】全国政协委员、中国美术家协会主席范迪安认为，从冬奥会开闭幕式的中国式浪漫到“顶流”冰墩墩雪容融，都体现从容的文化自信。冰墩墩不仅视觉可爱，还与大众有情感交流；雪容融色彩温暖，与残疾人运动员有情感默契。对它们的喜爱，源于对民族审美​展开c,陇南日报,30秒前 来自微博视频号,https://weibo.com/3230317920?refer_flag=1001030103_
#声聚两会#【安阿玥委员：#建议建立养老护理员黑名单制度#】日前，全国政协委员、中国中医科学院望京医院肛肠科主任安阿玥接受采访时认为，要提高养老从业人员综合素质。具体来看，首先，要建立养老护理员的黑名单制度。他说，“养老护理员在道德约束这方面，监督机制还不够。例如，现在我们有个别报​展开c,中国网直播,31秒前 来自微博视频号,https://weibo.com/1884488621?refer_flag=1001030103_
#启航春天里##关注2022两会#【代表委员“开箱”记｜#我把特效药的药盒带到北京#】全国政协委员杜丽群，今年带了一个治疗罕见病脊髓性肌萎缩症的“特效药”药盒到北京，此药2021年年底被纳入国家医保，价格从70万元一支降到了现在的3.3万元。杜丽群对罕见病关注已久，面对罕见病存在着高误诊、高漏诊、​展开c,福建新闻广播fm1036,36秒前 来自微博视频号,https://weibo.com/1685262231?refer_flag=1001030103_
